record_id,sheet_name,event_label,display_label,anchor_age_ka_bp,anchor_type,label_scheme,source_figure,confidence,anchor_purpose
MF,﻿MF_Fohlmeister_etal_2023,MF 6.4,6.4,146.8,interstadial_onset,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",high,label_placement_only
MF,﻿MF_Fohlmeister_etal_2023,MF 6.5,6.5,148.4,interstadial_onset,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",high,label_placement_only
MF,﻿MF_Fohlmeister_etal_2023,MF 6.6,6.6,149.3,interstadial_onset,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",high,label_placement_only
MF,﻿MF_Fohlmeister_etal_2023,MF 6.7,6.7,150.3,interstadial_onset,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",high,label_placement_only
MF,﻿MF_Fohlmeister_etal_2023,MF 6.8,6.8,151.0,interstadial_onset,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",high,label_placement_only
MF,﻿MF_Fohlmeister_etal_2023,MF 6.9,6.9,159.5,interstadial_onset,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",medium-high,label_placement_only
MF,﻿MF_Fohlmeister_etal_2023,MF 6.10,6.10,160.7,interstadial_onset,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",high,label_placement_only
MF,﻿MF_Fohlmeister_etal_2023,MF 6.11,6.11,164.9,interstadial_onset,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",high,label_placement_only
MF,﻿MF_Fohlmeister_etal_2023,MF 6.12,6.12,168.5,interstadial_onset,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",high,label_placement_only
MF,﻿MF_Fohlmeister_etal_2023,MF 6.13,6.13,169.6,interstadial_onset,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",high,label_placement_only
MF,﻿MF_Fohlmeister_etal_2023,MF 6.14,6.14,171.4,interstadial_onset,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",high,label_placement_only
MF,﻿MF_Fohlmeister_etal_2023,MF 6.15,6.15,172.4,interstadial_onset,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",high,label_placement_only
MF,﻿MF_Fohlmeister_etal_2023,MF 6.16,6.16,174.7,interstadial_onset,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",medium,label_placement_only
