record_id,sheet_name,event_label,display_label,anchor_age_ka_bp,label_scheme,source_figure,anchor_purpose
Sofular,Sofular_Held_etal_2024,D-O 6.10,6.10,179.801,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Sofular,Sofular_Held_etal_2024,D-O 6.11,6.11,180.313,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Sofular,Sofular_Held_etal_2024,D-O 6.12,6.12,191.009,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Sofular,Sofular_Held_etal_2024,D-O 6.13,6.13,194.201,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
MF,"﻿MF_Fohlmeister_etal_2023",MF 6.1,6.1,134.9,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",label_placement_only
MF,"﻿MF_Fohlmeister_etal_2023",MF 6.2,6.2,138.3,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",label_placement_only
MF,"﻿MF_Fohlmeister_etal_2023",MF 6.3,6.3,146.2,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",label_placement_only
MF,"﻿MF_Fohlmeister_etal_2023",MF 6.4,6.4,146.8,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",label_placement_only
MF,"﻿MF_Fohlmeister_etal_2023",MF 6.5,6.5,148.4,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",label_placement_only
MF,"﻿MF_Fohlmeister_etal_2023",MF 6.6,6.6,149.3,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",label_placement_only
MF,"﻿MF_Fohlmeister_etal_2023",MF 6.7,6.7,150.3,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",label_placement_only
MF,"﻿MF_Fohlmeister_etal_2023",MF 6.8,6.8,151.0,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",label_placement_only
MF,"﻿MF_Fohlmeister_etal_2023",MF 6.9,6.9,159.5,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",label_placement_only
MF,"﻿MF_Fohlmeister_etal_2023",MF 6.10,6.10,160.7,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",label_placement_only
MF,"﻿MF_Fohlmeister_etal_2023",MF 6.11,6.11,164.9,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",label_placement_only
MF,"﻿MF_Fohlmeister_etal_2023",MF 6.12,6.12,168.5,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",label_placement_only
MF,"﻿MF_Fohlmeister_etal_2023",MF 6.13,6.13,169.6,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",label_placement_only
MF,"﻿MF_Fohlmeister_etal_2023",MF 6.14,6.14,171.4,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",label_placement_only
MF,"﻿MF_Fohlmeister_etal_2023",MF 6.15,6.15,172.4,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",label_placement_only
MF,"﻿MF_Fohlmeister_etal_2023",MF 6.16,6.16,174.7,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",label_placement_only
